tournament_id,year,group_name,team,played,won,drawn,lost,goals_for,goals_against,points,goal_diff,group_rank
WC-1966,1966,Group 2,Spain,3,1,0,2,4,5,2,-1,3
WC-1966,1966,Group 2,Switzerland,3,0,0,3,1,9,0,-8,4
WC-1966,1966,Group 3,Portugal,3,3,0,0,9,2,6,7,1
WC-1966,1966,Group 3,Hungary,3,2,0,1,7,5,4,2,2
WC-1966,1966,Group 3,Brazil,3,1,0,2,4,6,2,-2,3
WC-1966,1966,Group 3,Bulgaria,3,0,0,3,1,8,0,-7,4
WC-1966,1966,Group 4,Russia,3,3,0,0,6,1,6,5,1
WC-1966,1966,Group 4,North Korea,3,1,1,1,2,4,3,-2,2
WC-1966,1966,Group 4,Italy,3,1,0,2,2,2,2,0,3
WC-1966,1966,Group 4,Chile,3,0,1,2,2,5,1,-3,4
WC-1970,1970,Group 1,Russia,3,2,1,0,6,1,5,5,1
WC-1970,1970,Group 1,Mexico,3,2,1,0,5,0,5,5,2
WC-1970,1970,Group 1,Belgium,3,1,0,2,4,5,2,-1,3
WC-1970,1970,Group 1,El Salvador,3,0,0,3,0,9,0,-9,4
WC-1970,1970,Group 2,Italy,3,1,2,0,1,0,4,1,1
WC-1970,1970,Group 2,Uruguay,3,1,1,1,2,1,3,1,2
WC-1970,1970,Group 2,Sweden,3,1,1,1,2,2,3,0,3
WC-1970,1970,Group 2,Israel,3,0,2,1,1,3,2,-2,4
WC-1970,1970,Group 3,Brazil,3,3,0,0,8,3,6,5,1
WC-1970,1970,Group 3,England,3,2,0,1,2,1,4,1,2
WC-1970,1970,Group 3,Romania,3,1,0,2,4,5,2,-1,3
WC-1970,1970,Group 3,Czechoslovakia,3,0,0,3,2,7,0,-5,4
WC-1970,1970,Group 4,Germany,3,3,0,0,10,4,6,6,1
WC-1970,1970,Group 4,Peru,3,2,0,1,7,5,4,2,2
WC-1970,1970,Group 4,Bulgaria,3,0,1,2,5,9,1,-4,3
WC-1970,1970,Group 4,Morocco,3,0,1,2,2,6,1,-4,4
WC-1974,1974,Group 1,East Germany,3,2,1,0,4,1,5,3,1
WC-1974,1974,Group 1,Germany,3,2,0,1,4,1,4,3,2
WC-1974,1974,Group 1,Chile,3,0,2,1,1,2,2,-1,3
WC-1974,1974,Group 1,Australia,3,0,1,2,0,5,1,-5,4
WC-1974,1974,Group 2,Yugoslavia,3,1,2,0,10,1,4,9,1
WC-1974,1974,Group 2,Brazil,3,1,2,0,3,0,4,3,2
WC-1974,1974,Group 2,Scotland,3,1,2,0,3,1,4,2,3
WC-1974,1974,Group 2,DR Congo,3,0,0,3,0,14,0,-14,4
WC-1974,1974,Group 3,Netherlands,3,2,1,0,6,1,5,5,1
WC-1974,1974,Group 3,Sweden,3,1,2,0,3,0,4,3,2
WC-1974,1974,Group 3,Bulgaria,3,0,2,1,2,5,2,-3,3
WC-1974,1974,Group 3,Uruguay,3,0,1,2,1,6,1,-5,4
WC-1974,1974,Group 4,Poland,3,3,0,0,12,3,6,9,1
WC-1974,1974,Group 4,Argentina,3,1,1,1,7,5,3,2,2
WC-1974,1974,Group 4,Italy,3,1,1,1,5,4,3,1,3
WC-1974,1974,Group 4,Haiti,3,0,0,3,2,14,0,-12,4
WC-1974,1974,Group A,Netherlands,3,3,0,0,8,0,6,8,1
WC-1974,1974,Group A,Brazil,3,2,0,1,3,3,4,0,2
WC-1974,1974,Group A,East Germany,3,0,1,2,1,4,1,-3,3
WC-1974,1974,Group A,Argentina,3,0,1,2,2,7,1,-5,4
WC-1974,1974,Group B,Germany,3,3,0,0,7,2,6,5,1
WC-1974,1974,Group B,Poland,3,2,0,1,3,2,4,1,2
WC-1974,1974,Group B,Sweden,3,1,0,2,4,6,2,-2,3
WC-1974,1974,Group B,Yugoslavia,3,0,0,3,2,6,0,-4,4
WC-1978,1978,Group 1,Italy,3,3,0,0,6,2,6,4,1
WC-1978,1978,Group 1,Argentina,3,2,0,1,4,3,4,1,2
WC-1978,1978,Group 1,France,3,1,0,2,5,5,2,0,3
WC-1978,1978,Group 1,Hungary,3,0,0,3,3,8,0,-5,4
WC-1978,1978,Group 2,Poland,3,2,1,0,4,1,5,3,1
WC-1978,1978,Group 2,Germany,3,1,2,0,6,0,4,6,2
WC-1978,1978,Group 2,Tunisia,3,1,1,1,3,2,3,1,3
WC-1978,1978,Group 2,Mexico,3,0,0,3,2,12,0,-10,4
WC-1978,1978,Group 3,Austria,3,2,0,1,3,2,4,1,1
WC-1978,1978,Group 3,Brazil,3,1,2,0,2,1,4,1,2
WC-1978,1978,Group 3,Spain,3,1,1,1,2,2,3,0,3
WC-1978,1978,Group 3,Sweden,3,0,1,2,1,3,1,-2,4
WC-1978,1978,Group 4,Peru,3,2,1,0,7,2,5,5,1
WC-1978,1978,Group 4,Netherlands,3,1,1,1,5,3,3,2,2
WC-1978,1978,Group 4,Scotland,3,1,1,1,5,6,3,-1,3
WC-1978,1978,Group 4,Iran,3,0,1,2,2,8,1,-6,4
WC-1978,1978,Group A,Netherlands,3,2,1,0,9,4,5,5,1
WC-1978,1978,Group A,Italy,3,1,1,1,2,2,3,0,2
WC-1978,1978,Group A,Germany,3,0,2,1,4,5,2,-1,3
WC-1978,1978,Group A,Austria,3,1,0,2,4,8,2,-4,4
WC-1978,1978,Group B,Argentina,3,2,1,0,8,0,5,8,1
WC-1978,1978,Group B,Brazil,3,2,1,0,6,1,5,5,2
WC-1978,1978,Group B,Poland,3,1,0,2,2,5,2,-3,3
WC-1978,1978,Group B,Peru,3,0,0,3,0,10,0,-10,4
WC-1982,1982,Group 1,Poland,5,2,3,0,8,1,7,7,1
WC-1982,1982,Group 1,Russia,2,1,1,0,1,0,3,1,2
WC-1982,1982,Group 1,Italy,3,0,3,0,2,2,3,0,3
WC-1982,1982,Group 1,Cameroon,3,0,3,0,1,1,3,0,4
WC-1982,1982,Group 1,Peru,3,0,2,1,2,6,2,-4,5
WC-1982,1982,Group 1,Belgium,2,0,0,2,0,4,0,-4,6
WC-1982,1982,Group 2,Germany,5,3,1,1,8,4,7,4,1
WC-1982,1982,Group 2,Austria,3,2,0,1,3,1,4,2,2
